date,kp_0h,kp_3h,kp_6h,kp_9h,kp_12h,kp_15h,kp_18h,kp_21h
13/07/2000,2,2,3,5,7,5,2,3
14/07/2000,4,3,4,4,4,6,5,4
15/07/2000,4,4,5,5,6,9,9,9
16/07/2000,8,6,4,4,4,3,3,3
17/07/2000,3,3,2,3,2,2,2,2
18/07/2000,3,2,2,2,3,3,4,4
19/07/2000,3,1,1,2,3,4,4,5
20/07/2000,5,6,6,6,5,3,4,3
21/07/2000,3,2,1,2,3,3,2,3
22/07/2000,2,3,4,5,3,4,3,3
23/07/2000,3,3,2,2,3,4,5,4
24/07/2000,2,3,2,2,2,3,2,2
25/07/2000,2,2,1,2,2,3,2,3
26/07/2000,3,3,4,4,4,3,4,4
27/07/2000,4,2,1,2,1,2,2,3
28/07/2000,3,3,5,5,5,5,4,3
29/07/2000,3,3,4,6,5,3,3,3
30/07/2000,3,3,1,2,3,2,2,2
31/07/2000,3,3,4,4,2,3,4,5
01/08/2000,3,3,3,3,2,4,4,3
02/08/2000,4,3,3,3,2,3,3,3
03/08/2000,3,3,3,3,2,3,3,2
04/08/2000,3,3,4,3,3,4,3,3
05/08/2000,3,3,5,5,4,4,3,4
06/08/2000,4,4,3,3,3,3,3,3
07/08/2000,2,2,3,3,3,2,2,2
08/08/2000,2,2,3,2,2,2,3,2
09/08/2000,2,2,1,2,2,2,2,3
10/08/2000,2,3,4,4,5,3,3,5
11/08/2000,6,6,7,6,4,4,4,5
